,maker,specific_origin,reference,review_date,cocoa_percent,maker_location,rating,bean_type,broad_origin,maker_location_latitude,maker_location_longitude,broad_origin_latitude,broad_origin_longitude
399,Zotter,"Bocas del Toro,Cocabo Co,op",801,2012,72.0,Austria,3.5,Blend,Panama,47.516231,14.550072,8.537981,-80.782127
400,A. Morin,Madagascar,1011,2013,70.0,France,3.0,Criollo,Madagascar,46.227638,2.213749,-18.766947,46.869107
401,Alain Ducasse,Madagascar,1215,2014,75.0,France,3.0,Trinitario,Madagascar,46.227638,2.213749,-18.766947,46.869107
402,Ara,Madagascar,1375,2014,75.0,France,3.0,Trinitario,Madagascar,46.227638,2.213749,-18.766947,46.869107
403,Bonnat,"Madagascar,100% criollo",629,2011,75.0,France,4.0,Criollo,Madagascar,46.227638,2.213749,-18.766947,46.869107
404,Bonnat,Madagascar,75,2006,75.0,France,4.0,Trinitario,Madagascar,46.227638,2.213749,-18.766947,46.869107
405,Durand,Madagascar,841,2012,82.0,France,2.75,Trinitario,Madagascar,46.227638,2.213749,-18.766947,46.869107
406,Laia aka Chat-Noir,"Madagascar,Batch 59,100",1590,2015,75.0,France,2.75,Trinitario,Madagascar,46.227638,2.213749,-18.766947,46.869107
407,Michel Cluizel,Mangaro P,24,2006,65.0,France,4.0,Trinitario,Madagascar,46.227638,2.213749,-18.766947,46.869107
408,Pralus,"Sambirano Valley,Le 100%",202,2008,100.0,France,3.0,Criollo,Madagascar,46.227638,2.213749,-18.766947,46.869107
409,Pralus,"Madagascar,Nosy Be Isle",5,2006,75.0,France,3.75,Criollo,Madagascar,46.227638,2.213749,-18.766947,46.869107
410,Valrhona,Manjari,129,2007,64.0,France,4.0,"Criollo, Trinitario",Madagascar,46.227638,2.213749,-18.766947,46.869107
411,Valrhona,"Sambirano,Ampamakia 2005,Millot P",75,2006,64.0,France,3.5,Trinitario,Madagascar,46.227638,2.213749,-18.766947,46.869107
412,Amano,Madagascar,129,2007,70.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
413,Bar Au Chocolat,Sambirano,983,2012,70.0,United States,3.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
414,Bittersweet Origins,"Sambirano,2009",565,2010,70.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
415,Bittersweet Origins,Sambirano,423,2009,75.0,United States,3.25,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
416,Bittersweet Origins,Sambirano,431,2009,65.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
417,Bittersweet Origins,Sambirano,233,2008,71.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
418,Blue Bandana,"Akesson's E,Sambirano V",1740,2016,82.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
419,Blue Bandana,Madagascar,911,2012,70.0,United States,3.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
420,Brazen,Ambolikapiky P,1518,2015,80.0,United States,2.75,Blend,Madagascar,37.09024,-95.712891,-18.766947,46.869107
421,Brazen,Ambolikapkly P,1518,2015,60.0,United States,3.25,Blend,Madagascar,37.09024,-95.712891,-18.766947,46.869107
422,Chocola'te,Madagascar,647,2011,70.0,United States,3.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
423,Coleman & Davis,Sambirano,1646,2015,75.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
424,Dandelion,Madagascar,654,2011,70.0,United States,3.25,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
425,Dark Forest,Madagascar,1550,2015,70.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
426,Dean and Deluca (Belcolade),Madagascar,170,2007,66.0,United States,2.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
427,Dick Taylor,Sambirano,661,2011,80.0,United States,2.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
428,Dick Taylor,Sambirano,661,2011,72.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
429,Fresco,"Sambirano Valley,#216,MR,LC",915,2012,74.0,United States,4.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
430,Fresco,"Sambirano Valley,#214,LR,MC",682,2011,74.0,United States,2.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
431,Fresco,"Sambirano Valley,#215,MR,MC",688,2011,74.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
432,Guittard,"Sambirano,Ambanja",87,2006,65.0,United States,3.5,"Criollo, +",Madagascar,37.09024,-95.712891,-18.766947,46.869107
433,hexx,Madagascar,1546,2015,74.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
434,Isidro,Madagascar,1275,2014,72.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
435,Just Good Chocolate,Madagascar,1375,2014,70.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
436,Kto,Sambirano Valley,1422,2014,72.0,United States,3.25,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
437,Kyya,Madagascar,1363,2014,72.5,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
438,L.A. Burdick (Felchlin),Madagascar,431,2009,64.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
439,Mutari,"Ambanja,batch 1 SRB",1900,2016,68.0,United States,2.75,Blend,Madagascar,37.09024,-95.712891,-18.766947,46.869107
440,Nathan Miller,Madagascar,1403,2014,73.5,United States,2.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
441,Nibble,"Ambanja,Sambirano Valley",1526,2015,72.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
442,Nuance,"Sambirano Valley,2012",1458,2015,70.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
443,Patric,Madagascar,331,2009,75.0,United States,4.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
444,Patric,Madagascar,439,2009,67.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
445,Patric,Madagascar,196,2007,70.0,United States,4.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
446,Pitch Dark,Akesson Estate,1311,2014,73.0,United States,3.25,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
447,Raaka,Madagascar,959,2012,75.0,United States,3.25,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
448,Ritual,Sambirano,891,2012,75.0,United States,4.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
449,Rogue,"Akessons Estate,Sambirano,2013",1038,2013,70.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
450,Rogue,"Sambirano,2008",213,2008,70.0,United States,2.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
451,Scharffen Berger,Amina,464,2010,65.0,United States,3.75,"Trinitario, Criollo",Madagascar,37.09024,-95.712891,-18.766947,46.869107
452,Snake & Butterfly,Madagascar,502,2010,68.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
453,Sol Cacao,Madagascar,1518,2015,72.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
454,Solstice,Sambirano,1157,2013,70.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
455,Starchild,Sambirano Valley,1696,2015,70.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
456,Sublime Origins,Sambirano,1157,2013,67.0,United States,2.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
457,TCHO,"Citrus,beta",280,2008,70.0,United States,2.75,Blend,Madagascar,37.09024,-95.712891,-18.766947,46.869107
458,Tejas,Concepcion,801,2012,70.0,United States,2.75,Blend,Madagascar,37.09024,-95.712891,-18.766947,46.869107
459,Tejas,Capistrano*,829,2012,70.0,United States,3.0,Blend,Madagascar,37.09024,-95.712891,-18.766947,46.869107
460,Terroir,Madagascar,1478,2015,70.0,United States,3.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
461,Terroir,Madagascar,1323,2014,67.0,United States,3.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
462,Theo,Madagascar,162,2007,65.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
463,twenty-four blackbirds,Madagascar,1235,2014,75.0,United States,3.5,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
464,Upchurch,"Madagascar,Sassy Bar",1752,2016,72.0,United States,3.0,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
465,Violet Sky,Sambirano Valley,1458,2015,77.0,United States,2.75,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
466,Woodblock,Sambirano,951,2012,70.0,United States,3.25,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
467,Xocolla,"Sambirano,batch 170102",1948,2017,70.0,United States,2.75,Blend,Madagascar,37.09024,-95.712891,-18.766947,46.869107
468,Zak's,"Madagascar,Batch 2",1578,2015,70.0,United States,3.25,Trinitario,Madagascar,37.09024,-95.712891,-18.766947,46.869107
469,Akesson's (Pralus),"Madagascar,Ambolikapiky P",502,2010,75.0,Switzerland,2.75,Criollo,Madagascar,46.818188,8.227512,-18.766947,46.869107
470,Beschle (Felchlin),Madagascar,636,2011,64.0,Switzerland,3.0,Trinitario,Madagascar,46.818188,8.227512,-18.766947,46.869107
471,Felchlin,"Madagascar,Grand Cru",48,2006,64.0,Switzerland,3.0,Criollo,Madagascar,46.818188,8.227512,-18.766947,46.869107
472,Cacao Sampaka,Madagascar,508,2010,71.0,Spain,3.5,Trinitario,Madagascar,40.463667,-3.74922,-18.766947,46.869107
473,Chocovic,Sambirano,478,2010,71.0,Spain,3.5,Trinitario,Madagascar,40.463667,-3.74922,-18.766947,46.869107
474,Ambrosia,Madagascar,1494,2015,66.0,Canada,3.25,Trinitario,Madagascar,56.130366,-106.346771,-18.766947,46.869107
475,East Van Roasters,Madagascar,1343,2014,70.0,Canada,3.5,Trinitario,Madagascar,56.130366,-106.346771,-18.766947,46.869107
476,Palette de Bine,Sambirano,1239,2014,78.0,Canada,3.75,Trinitario,Madagascar,56.130366,-106.346771,-18.766947,46.869107
477,Sirene,"Somia Plantation,2012",1502,2015,100.0,Canada,3.0,Trinitario,Madagascar,56.130366,-106.346771,-18.766947,46.869107
478,Sirene,"Somia Plantation,2012",1339,2014,67.0,Canada,3.75,Trinitario,Madagascar,56.130366,-106.346771,-18.766947,46.869107
479,Sirene,"Somia Plantation,2012",1339,2014,73.0,Canada,3.75,Trinitario,Madagascar,56.130366,-106.346771,-18.766947,46.869107
480,Soma,"Sambirano Valley,Black Science,B,603070",1820,2016,70.0,Canada,3.5,Trinitario,Madagascar,56.130366,-106.346771,-18.766947,46.869107
481,Soma,Madagascar,387,2009,70.0,Canada,3.75,Criollo,Madagascar,56.130366,-106.346771,-18.766947,46.869107
482,Soul,Madagascar,1936,2017,70.0,Canada,3.5,Blend,Madagascar,56.130366,-106.346771,-18.766947,46.869107
483,Amedei,Madagascar,123,2007,70.0,Italy,4.0,Trinitario (85% Criollo),Madagascar,41.87194,12.56738,-18.766947,46.869107
484,Domori,Madagascar,135,2007,70.0,Italy,3.5,Trinitario,Madagascar,41.87194,12.56738,-18.766947,46.869107
485,Domori,Madagared,192,2007,70.0,Italy,3.5,Criollo,Madagascar,41.87194,12.56738,-18.766947,46.869107
486,S.A.I.D.,Malgascio,607,2010,64.0,Italy,3.5,Trinitario,Madagascar,41.87194,12.56738,-18.766947,46.869107
487,Artisan du Chocolat,Madagascar,363,2009,80.0,United Kingdom,3.0,"Criollo, Trinitario",Madagascar,55.378051,-3.435973,-18.766947,46.869107
488,"Chocolate Tree, The",Madagascar,919,2012,72.0,United Kingdom,3.25,Criollo,Madagascar,55.378051,-3.435973,-18.766947,46.869107
489,Dormouse,"Madagascar,Batch 8",1676,2015,77.0,United Kingdom,2.75,"Criollo, Trinitario",Madagascar,55.378051,-3.435973,-18.766947,46.869107
490,Hotel Chocolat (Coppeneur),"Somia Plantation,Akesson,2012",1065,2013,72.0,United Kingdom,3.0,Trinitario,Madagascar,55.378051,-3.435973,-18.766947,46.869107
491,Hotel Chocolat (Coppeneur),Sambirano,809,2012,66.0,United Kingdom,3.5,"Trinitario, Criollo",Madagascar,55.378051,-3.435973,-18.766947,46.869107
492,Paul Young,"Madagascar,w,shell",1271,2014,73.0,United Kingdom,2.25,Trinitario,Madagascar,55.378051,-3.435973,-18.766947,46.869107
493,Paul Young,"Madagascar,w,shell",1271,2014,64.0,United Kingdom,2.75,Trinitario,Madagascar,55.378051,-3.435973,-18.766947,46.869107
494,Pump Street Bakery,"Akesson's,batch 4411",1530,2015,74.0,United Kingdom,3.5,Criollo,Madagascar,55.378051,-3.435973,-18.766947,46.869107
495,Pump Street Bakery,"Akessons Estate,Sambirano,Ambanja",1223,2014,72.0,United Kingdom,3.25,Trinitario,Madagascar,55.378051,-3.435973,-18.766947,46.869107
496,Willie's Cacao,Sambirano,593,2010,71.0,United Kingdom,3.0,Trinitario,Madagascar,55.378051,-3.435973,-18.766947,46.869107
497,Bahen & Co.,Sambirano,995,2012,70.0,Australia,3.0,Trinitario,Madagascar,-25.274398,133.775136,-18.766947,46.869107
498,Bright,Somia Plantation,1231,2014,72.0,Australia,3.0,Trinitario,Madagascar,-25.274398,133.775136,-18.766947,46.869107
499,Matale,"Somia,2013",1177,2013,68.0,Australia,4.0,Trinitario,Madagascar,-25.274398,133.775136,-18.766947,46.869107
500,"Smooth Chocolator, The",Akesson's Estate,1618,2015,65.0,Australia,3.25,Trinitario,Madagascar,-25.274398,133.775136,-18.766947,46.869107
501,"Smooth Chocolator, The",Akesson's Estate,1622,2015,70.0,Australia,3.5,Trinitario,Madagascar,-25.274398,133.775136,-18.766947,46.869107
502,Spencer,"Madagascar,lot M0403R",1792,2016,70.0,Australia,3.75,Blend,Madagascar,-25.274398,133.775136,-18.766947,46.869107
503,Benoit Nihant,"Somia Plantation,Sambirano,70hr C",773,2011,72.0,Belgium,3.75,Trinitario,Madagascar,50.503887,4.469936,-18.766947,46.869107
504,Frederic Blondeel,Madagascar,1351,2014,65.0,Belgium,3.5,Trinitario,Madagascar,50.503887,4.469936,-18.766947,46.869107
505,Pierre Marcolini,"Sambirano,Ambanja,Madagascar",141,2007,72.0,Belgium,4.0,Trinitario,Madagascar,50.503887,4.469936,-18.766947,46.869107
506,Coppeneur,Madagascar,959,2012,70.0,Germany,3.5,Trinitario,Madagascar,51.165691,10.451526,-18.766947,46.869107
507,Coppeneur,"Sambirano,Menava P",196,2007,72.0,Germany,3.0,Trinitario,Madagascar,51.165691,10.451526,-18.766947,46.869107
508,Georgia Ramon,Akesson P,1642,2015,65.0,Germany,3.25,Trinitario,Madagascar,51.165691,10.451526,-18.766947,46.869107
509,Georgia Ramon,Akesson P,1646,2015,75.0,Germany,3.5,Trinitario,Madagascar,51.165691,10.451526,-18.766947,46.869107
510,Cacao Store,Madagascar,1684,2015,70.0,Japan,3.0,Trinitario,Madagascar,36.204824,138.252924,-18.766947,46.869107
511,Green Bean to Bar,Madagascar,1896,2016,70.0,Japan,3.5,Blend,Madagascar,36.204824,138.252924,-18.766947,46.869107
512,Hogarth,Akesson's Estate,1712,2016,70.0,New Zealand,2.75,Trinitario,Madagascar,-40.900557,174.885971,-18.766947,46.869107
513,Danta,Sambirano,987,2012,70.0,Guatemala,3.75,Trinitario,Madagascar,15.783471,-90.230759,-18.766947,46.869107
514,De Villiers,"Sambirano Valley,batch 2477",1832,2016,70.0,South Africa,3.0,Blend,Madagascar,-30.559482,22.937506,-18.766947,46.869107
515,Fossa,"Akesson's E,Sambirano V",1772,2016,70.0,Singapore,2.75,Blend,Madagascar,1.352083,103.819836,-18.766947,46.869107
516,Holy Cacao,Sambirano,1466,2015,70.0,Israel,3.5,Trinitario,Madagascar,31.046051,34.851612,-18.766947,46.869107
517,Jordis,Madagascar,1534,2015,63.0,Czech Republic,2.75,Trinitario,Madagascar,49.817492,15.472962,-18.766947,46.869107
518,Levy,Sambirano,1231,2014,71.0,Finland,3.5,Criollo,Madagascar,61.92411,25.748151,-18.766947,46.869107
519,Lilla,Madagascar,1856,2016,70.0,Finland,3.0,Trinitario,Madagascar,61.92411,25.748151,-18.766947,46.869107
520,Madecasse (Cinagra),Madagascar,284,2008,67.0,Madagascar,3.5,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
521,Madecasse (Cinagra),Madagascar,284,2008,70.0,Madagascar,3.75,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
522,Madecasse (Cinagra),Madagascar,284,2008,63.0,Madagascar,4.0,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
523,Madecasse (Cinagra),Madagascar,288,2008,75.0,Madagascar,3.5,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
524,Malagasy (Chocolaterie Robert),Sambirano 2006,184,2007,75.0,Madagascar,2.75,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
525,Malagasy (Chocolaterie Robert),Mora Mora 2006,184,2007,73.0,Madagascar,3.5,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
526,Menakao (aka Cinagra),Madagascar,837,2012,80.0,Madagascar,2.5,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
527,Menakao (aka Cinagra),Madagascar,841,2012,72.0,Madagascar,2.5,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
528,Robert (aka Chocolaterie Robert),Madagascar,1061,2013,75.0,Madagascar,3.25,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
529,Robert (aka Chocolaterie Robert),"Madagascar w,nibs",1061,2013,68.0,Madagascar,3.25,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
530,Tsara (Cinagra),"Ambanja,Tsara Valley",753,2011,72.0,Madagascar,3.5,Blend,Madagascar,-18.766947,46.869107,-18.766947,46.869107
531,Vao Vao (Chocolaterie Robert),Madagascar,404,2009,72.0,Madagascar,2.75,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
532,Vao Vao (Chocolaterie Robert),Madagascar,404,2009,76.0,Madagascar,2.75,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
533,Vao Vao (Chocolaterie Robert),Madagascar,404,2009,80.0,Madagascar,2.75,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
534,Vao Vao (Chocolaterie Robert),Madagascar,404,2009,70.0,Madagascar,3.0,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
535,Vao Vao (Chocolaterie Robert),"Madagascar w,nibs",404,2009,68.0,Madagascar,3.0,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
536,Vao Vao (Chocolaterie Robert),Madagascar,404,2009,64.0,Madagascar,3.25,Trinitario,Madagascar,-18.766947,46.869107,-18.766947,46.869107
537,Metiisto,Akesson Estate,1267,2014,72.0,Sweden,3.5,Trinitario,Madagascar,60.128161,18.643501,-18.766947,46.869107
538,Zart Pralinen,"Millot P,Ambanja",1820,2016,70.0,Austria,3.5,"Criollo, Trinitario",Madagascar,47.516231,14.550072,-18.766947,46.869107
539,Omnom,Madagascar,1247,2014,66.0,Iceland,3.5,Trinitario,Madagascar,64.963051,-19.020835,-18.766947,46.869107
540,Rozsavolgyi,"Sambirano,Akesson Estate",871,2012,72.0,Hungary,2.5,Trinitario,Madagascar,47.162494,19.503304,-18.766947,46.869107
541,Szanto Tibor,Ambolikapiky,1704,2015,70.0,Hungary,3.25,Trinitario,Madagascar,47.162494,19.503304,-18.766947,46.869107
542,Szanto Tibor,"Autumn,Primary Harvest,2012",1185,2013,70.0,Hungary,3.5,Criollo,Madagascar,47.162494,19.503304,-18.766947,46.869107
543,Szanto Tibor,"Spring,Secondary Harvest,2012",1185,2013,70.0,Hungary,3.5,Criollo,Madagascar,47.162494,19.503304,-18.766947,46.869107
544,Szanto Tibor,Millot Plantation,939,2012,70.0,Hungary,3.25,Blend,Madagascar,47.162494,19.503304,-18.766947,46.869107
545,A. Morin,Brazil,1011,2013,70.0,France,3.25,Blend,Brazil,46.227638,2.213749,-14.235004,-51.92528
546,Bonnat,Kaori,1339,2014,75.0,France,4.0,Blend,Brazil,46.227638,2.213749,-14.235004,-51.92528
547,Bonnat,Maragnam,1038,2013,75.0,France,3.5,Blend,Brazil,46.227638,2.213749,-14.235004,-51.92528
548,Bonnat,Libanio,629,2011,75.0,France,3.75,Blend,Brazil,46.227638,2.213749,-14.235004,-51.92528
549,Bonnat,Juliana,672,2011,75.0,France,3.5,Blend,Brazil,46.227638,2.213749,-14.235004,-51.92528
550,Laia aka Chat-Noir,"Bahia,Batch 148",1642,2015,75.0,France,3.25,Blend,Brazil,46.227638,2.213749,-14.235004,-51.92528
551,Pralus,"Monte Alegre,Diego Badero",280,2008,75.0,France,3.5,Blend,Brazil,46.227638,2.213749,-14.235004,-51.92528
552,Pralus,"Monte Alegre ,Itacare,Brazil",105,2006,75.0,France,3.0,Forastero,Brazil,46.227638,2.213749,-14.235004,-51.92528
553,Arete,Fazenda Camboa,1534,2015,70.0,United States,3.5,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
554,Arete,Fazenda Camboa,1602,2015,75.0,United States,2.75,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
555,Bar Au Chocolat,Bahia,1554,2015,70.0,United States,3.5,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
556,Batch,Brazil,1868,2016,70.0,United States,3.75,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
557,Beehive,"Brazil,Batch 20316",1784,2016,80.0,United States,2.75,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
558,Cao,Brazil,1808,2016,70.0,United States,3.25,Trinitario,Brazil,37.09024,-95.712891,-14.235004,-51.92528
559,Fearless (AMMA),"Monte Alegre,D Badaro,Raw,Organic",565,2010,75.0,United States,2.75,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
560,Glennmade,Bahia,1672,2015,66.0,United States,3.0,"Trinitario, Forastero",Brazil,37.09024,-95.712891,-14.235004,-51.92528
561,Harper Macaw,"Vale do Juliana,w,nibs",1808,2016,85.0,United States,3.25,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
562,Harper Macaw,Brazil Blend,1696,2015,67.0,United States,3.0,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
563,Harper Macaw,"Tome Acu E,Amazon Rainforest",1700,2015,77.0,United States,3.5,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
564,Harper Macaw,"Vale do Juliana E,Atlantic Forest",1700,2015,74.0,United States,3.5,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
565,K'ul,"Bahia,Fazenda Camboa",1852,2016,70.0,United States,3.75,Forastero,Brazil,37.09024,-95.712891,-14.235004,-51.92528
566,L.A. Burdick (Felchlin),Brazil,891,2012,70.0,United States,4.0,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
567,Madre,Brazil,1085,2013,70.0,United States,3.5,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
568,Potomac,Bahia,789,2011,70.0,United States,3.5,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
569,Scharffen Berger,Tome Acu,336,2009,68.0,United States,3.75,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
570,Tejas,Espada,967,2012,70.0,United States,2.75,Blend,Brazil,37.09024,-95.712891,-14.235004,-51.92528
571,Tejas,"Bahia,Floresta Azul,Good Friends Reserve#3",971,2012,70.0,United States,3.5,Forastero (Parazinho),Brazil,37.09024,-95.712891,-14.235004,-51.92528
572,Akesson's (Pralus),"Monte Alegre,D Badero",508,2010,75.0,Switzerland,2.75,Forastero,Brazil,46.818188,8.227512,-14.235004,-51.92528
573,Stella (aka Bernrain),"Bahia,Agri,Forestal Plantation,2010",859,2012,68.0,Switzerland,2.75,Trinitario,Brazil,46.818188,8.227512,-14.235004,-51.92528
574,Choklat,Brazilian,377,2009,70.0,Canada,3.0,Blend,Brazil,56.130366,-106.346771,-14.235004,-51.92528
575,Choklat,Brazilian,377,2009,80.0,Canada,3.0,Blend,Brazil,56.130366,-106.346771,-14.235004,-51.92528
576,Soma,"Bahia Black,batch bra507221",1828,2016,70.0,Canada,3.5,Forastero (Parazinho),Brazil,56.130366,-106.346771,-14.235004,-51.92528
577,Silvio Bessone,"Bahia,Scavina",729,2011,60.0,Italy,3.25,Trinitario,Brazil,41.87194,12.56738,-14.235004,-51.92528
578,AMMA,Catongo,1065,2013,75.0,Brazil,3.25,Forastero (Catongo),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
579,AMMA,"Monte Alegre,3 diff plantations",572,2010,85.0,Brazil,2.75,Forastero (Parazinho),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
580,AMMA,"Monte Alegre,3 diff plantations",572,2010,50.0,Brazil,3.75,Forastero (Parazinho),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
581,AMMA,"Monte Alegre,3 diff plantations",572,2010,75.0,Brazil,3.75,Forastero (Parazinho),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
582,AMMA,"Monte Alegre,3 diff plantations",572,2010,60.0,Brazil,4.0,Forastero (Parazinho),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
583,De Mendes,"Nativo,Varzea",1462,2015,72.0,Brazil,3.5,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
584,De Mendes,"Selvagem,Jari",1462,2015,65.0,Brazil,3.5,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
585,Lajedo do Ouro,Catongo,927,2012,70.0,Brazil,3.5,Forastero (Catongo),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
586,Mission,"Fazenda Camboa,Bahia",1880,2016,75.0,Brazil,3.75,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
587,Mission,"Bahia,Fazenda Venturosa",1626,2015,70.0,Brazil,3.5,Forastero (Parazinho),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
588,Nugali,Fazenda Leolinda,1876,2016,70.0,Brazil,3.5,Trinitario (Scavina),Brazil,-14.235004,-51.92528,-14.235004,-51.92528
589,Q Chocolate,Brazil,1057,2013,75.0,Brazil,3.25,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
590,Q Chocolate,Brazil,1057,2013,85.0,Brazil,3.5,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
591,Q Chocolate,Brazil,1069,2013,55.0,Brazil,2.75,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
592,Q Chocolate,Brazil,1069,2013,80.0,Brazil,3.25,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
593,Q Chocolate,Brazil,935,2012,60.0,Brazil,3.0,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
594,Q Chocolate,Brazil,935,2012,65.0,Brazil,3.25,Blend,Brazil,-14.235004,-51.92528,-14.235004,-51.92528
595,Artisan du Chocolat,Brazil Rio Doce,363,2009,72.0,United Kingdom,1.75,Blend,Brazil,55.378051,-3.435973,-14.235004,-51.92528
